word1,word2,similarity
araba,otomobil,"3,92"
mücevher,mücevher,"3,84"
seyahat,yolculuk,"3,84"
erkek çocuk,delikanlı,"3,76"
sahil,kıyı,"3,7"
akıl hastanesi,tımarhane,"3,61"
büyücü,sihirbaz,"3,5"
öğlen,öğle,"3,42"
fırın,ocak,"3,11"
yiyecek,meyve,"3,08"
kuş,horoz,"3,05"
kuş,turna kuşu,"2,97"
alet,uygulamak,"2,95"
abi,keşiş,"2,82"
delikanlı,abi,"1,66"
turna kuşu,uygulamak,"1,68"
seyahat,araba,"1,16"
keşiş,kehanet,"1,1"
mezarlık,ormanlık alan,"0,95"
yiyecek,horoz,"0,89"
sahil,tepe,"0,87"
orman,mezarlık,"0,84"
kıyı,ormanlık alan,"0,63"
keşiş,köle,"0,55"
sahil,orman,"0,42"
delikanlı,sihirbaz,"0,42"
akor,gülümsemek,"0,13"
cam,büyücü,"0,11"
horoz,yolculuk,"0,08"
öğlen,sicim,"0,008"
