category,word
su_hayvanı,sazan
su_hayvanı,yayın balığı
su_hayvanı,morina
su_hayvanı,yunus
su_hayvanı,japon balığı
su_hayvanı,ringa
su_hayvanı,uskumru
su_hayvanı,somon
su_hayvanı,alabalık
su_hayvanı,tuna
su_hayvanı,balina
su_hayvanı,
kuş,karga
kuş,güvercin
kuş,kartal
kuş,şahin
kuş,kaz
kuş,şahin
kuş,baykuş
kuş,penguen
kuş,Sülün
kuş,güvercin
kuş,robin
kuş,serçe
kuş,kuğu
kuş,akbaba
kuş,ağaçkakan
kuş,
kara_memelisi,ayı
kara_memelisi,kunduz
kara_memelisi,boğa
kara_memelisi,kedi
kara_memelisi,inek
kara_memelisi,çakal
kara_memelisi,geyik
kara_memelisi,eşek
kara_memelisi,fil
kara_memelisi,tilki
kara_memelisi,zürafa
kara_memelisi,keçi
kara_memelisi,goril
kara_memelisi,at
kara_memelisi,aslan
kara_memelisi,domuz
kara_memelisi,tavşan
kara_memelisi,fare
kara_memelisi,koyun
kara_memelisi,sincap
kara_memelisi,kaplan
kara_memelisi,
sebze,pancar
sebze,brokoli
sebze,lahana
sebze,havuç
sebze,karnabahar
sebze,kereviz
sebze,mısır
sebze,salatalık
sebze,sarımsak
sebze,marul
sebze,soğan
sebze,maydanoz
sebze,patates
sebze,turp
sebze,ıspanak
sebze,turp
sebze,
appliance,bulaşık makinesi
appliance,dondurucu
appliance,buzdolabı
appliance,fırın
appliance,telefon
appliance,radyo
appliance,müzik seti
appliance,soba
appliance,televizyon
appliance,tost makinası
appliance,çamaşır makinesi
appliance,
tool,balta
tool,keski
tool,tirbuşon
tool,çatal
tool,çekiç
tool,balta
tool,bıçak
tool,tırmık
tool,testere
tool,Tornavida
tool,kürek
tool,elek
tool,kürek
tool,kaşık
tool,burkmak
tool,
container,çanta
container,şişe
container,tas
container,kutu
container,kavanoz
container, kulplu bardak
container,
fruit,elma
fruit,kayısı
fruit,muz
fruit,kiraz
fruit,hindistan cevizi
fruit,kızılcık
fruit,greyfurt
fruit,üzüm
fruit,limon
fruit,kireç
fruit,şeftali
fruit,armut
fruit,ananas
fruit,erik
fruit,çilek
fruit,
clothing,bluz
clothing,pelerin
clothing,kaban
clothing,elbise
clothing,eldiven
clothing,şapka
clothing,ceket
clothing,bornoz
clothing,atkı
clothing,gömlek
clothing,kazak
clothing,yelek
clothing,
vehicle,ambulans
vehicle,savaş gemisi
vehicle,bombardıman uçağı
vehicle,otobüs
vehicle,araba
vehicle,feribot
vehicle,avcı uçağı
vehicle,firkateyn
vehicle,planör
vehicle,helikopter
vehicle,jet
vehicle,motosiklet
vehicle,mobilet
vehicle,tanker
vehicle,tren
vehicle,kamyon
vehicle,kamyonet
vehicle,yat
vehicle,
musical_instrument,çello
musical_instrument,klarnet
musical_instrument,flüt
musical_instrument,gitar
musical_instrument,piyano
musical_instrument,saksafon
musical_instrument,trompet
musical_instrument,keman
musical_instrument,
furniture,yatak
furniture,kitaplık
furniture,sandalye
furniture,kanepe
furniture,çalışma masası
furniture,şifoniyer
furniture,divan
furniture,masa
furniture,giysi dolabı
furniture,
building,kale
building,katedral
building,kır evi
building,hastane
building,otel
building,kütüphane
building,pub
building,restoran
building,villa
building,
weapon,bomba
weapon,top
weapon,hançer
weapon,el bombası
weapon,silah
weapon,füze
weapon,tüfek
weapon,tabanca
weapon,tabanca
weapon,tüfek
weapon,mızrak
weapon,kılıç
weapon,
amphibian_reptile,timsah
amphibian_reptile,kurbağa
amphibian_reptile,kertenkele
amphibian_reptile,yılan
amphibian_reptile,kaplumbağa
amphibian_reptile,
insect,karınca
insect,böcek
insect,kelebek
insect,hamamböceği
insect,çekirge
insect,eşekarısı
insect,güve
insect,yaban arısı
insect,
tree,akasya
tree,huş ağacı
tree,sedir
tree,selvi
tree,karaağaç
tree,meşe
tree,çam
tree,kavak
tree,söğüt
tree,
